"Starting time to disconnecting","seconds of disconnecting","Ending time to disconnecting"
2021-06-01T00:02:13.027369+09:00,2,2021-06-01T00:02:17.675195+09:00
2021-06-01T00:22:46.338395+09:00,43,2021-06-01T00:23:36.260160+09:00
2021-06-01T00:30:14.853071+09:00,0,2021-06-01T00:30:17.259604+09:00
2021-06-01T00:30:55.503886+09:00,0,2021-06-01T00:30:58.099027+09:00
2021-06-01T00:38:32.238844+09:00,0,2021-06-01T00:38:34.113477+09:00
2021-06-01T00:38:37.936926+09:00,0,2021-06-01T00:38:46.405610+09:00
2021-06-01T00:39:49.110670+09:00,0,2021-06-01T00:39:52.196674+09:00
2021-06-01T00:39:57.102814+09:00,0,2021-06-01T00:39:59.601850+09:00
2021-06-01T00:43:57.220802+09:00,32,2021-06-01T00:44:32.140403+09:00
2021-06-01T00:44:57.015290+09:00,7,2021-06-01T00:45:06.233842+09:00
2021-06-01T00:45:16.296198+09:00,0,2021-06-01T00:45:17.774669+09:00
